loss,accuracy,val_loss,val_accuracy
0.9867328405380249,0.5617837905883789,0.6948966383934021,0.5657692551612854
0.6757645010948181,0.5871464014053345,0.6756027936935425,0.5688461661338806
0.6778271794319153,0.5836605429649353,0.6739118695259094,0.5946153998374939
0.6714040040969849,0.5935972332954407,0.6795327067375183,0.5711538195610046
0.668904721736908,0.603333592414856,0.6216026544570923,0.6311538219451904
0.34725210070610046,0.8643320798873901,0.20794257521629333,0.9296153783798218
0.1951904147863388,0.9367337226867676,0.2156267613172531,0.9300000071525574
0.1932084560394287,0.9374949932098389,0.20240318775177002,0.9361538290977478
0.19189365208148956,0.940500020980835,0.20010241866111755,0.9338461756706238
0.1867702156305313,0.9396986961364746,0.2169102132320404,0.935769259929657
0.1868552416563034,0.9423030614852905,0.19379332661628723,0.9346153736114502
0.18902768194675446,0.9412612915039062,0.1980484426021576,0.9361538290977478
0.18158705532550812,0.9433047771453857,0.1882321536540985,0.9323077201843262
0.17492134869098663,0.9461895823478699,0.1787997931241989,0.9419230818748474
0.180287703871727,0.9431445002555847,0.22193104028701782,0.9300000071525574
0.17496544122695923,0.9454683661460876,0.18642649054527283,0.9384615421295166
0.1723729521036148,0.9473916292190552,0.20654287934303284,0.9353846311569214
0.1699165552854538,0.9473916292190552,0.17601560056209564,0.9442307949066162
0.17152461409568787,0.9461094737052917,0.1922803372144699,0.9350000023841858
0.17297373712062836,0.9474316835403442,0.184805765748024,0.9430769085884094
